id_org,long,lat,type,id,coordinate
V10F2A0,121.537,25.0463,vd,113,"25.0463,121.537"
V1210E0,121.53322,25.06844,vd,114,"25.06844,121.53322"
V1220E0,121.53322,25.06844,vd,115,"25.06844,121.53322"
V1221E0,121.53595,25.0655,vd,116,"25.0655,121.53595"
V1230E0,121.5373,25.063660000000002,vd,117,"25.063660000000002,121.5373"
V1231E0,121.53653,25.05398,vd,118,"25.05398,121.53653"
V1240E0,121.53647,25.05177,vd,119,"25.05177,121.53647"
V1241E0,121.53648999999999,25.04844,vd,120,"25.04844,121.53648999999999"
V1250E0,121.53698999999999,25.04711,vd,121,"25.04711,121.53698999999999"
V1260E0,121.53697,25.045,vd,122,"25.045,121.53697"
V1270E0,121.53702,25.04288,vd,123,"25.04288,121.53702"
V1280E0,121.53825,25.03732,vd,124,"25.03732,121.53825"
V1290E0,121.53783999999999,25.033839999999998,vd,125,"25.033839999999998,121.53783999999999"
V12B2E0,121.5373,25.02286,vd,126,"25.02286,121.5373"
V12C2E0,121.53638000000001,25.0443,vd,127,"25.0443,121.53638000000001"
V12D2E0,121.53747,25.04004,vd,128,"25.04004,121.53747"
V12E2E0,121.53742,25.0368,vd,129,"25.0368,121.53742"
V12F2E0,121.53746000000001,25.028579999999998,vd,130,"25.028579999999998,121.53746000000001"
V12G2E0,121.53797,25.0236,vd,131,"25.0236,121.53797"
V1CPB00,121.55377,24.980970000000003,vd,132,"24.980970000000003,121.55377"
V1CRT60,121.5678,24.98382,vd,133,"24.98382,121.5678"
V1IUI20,121.57658,24.987460000000002,vd,134,"24.987460000000002,121.57658"
V1NMM20,121.54813,24.9871,vd,135,"24.9871,121.54813"
V1NQM40,121.56066000000001,24.98714,vd,136,"24.98714,121.56066000000001"
V1SNV00,121.55243999999999,24.98919,vd,137,"24.98919,121.55243999999999"
V1TT960,121.5739,24.99044,vd,138,"24.99044,121.5739"
V1VJK40,121.53415,24.99333,vd,139,"24.99333,121.53415"
V1XLD00,121.53948999999999,24.9886,vd,140,"24.9886,121.53948999999999"
V2101B0,121.53391,25.00871,vd,141,"25.00871,121.53391"
V2110C0,121.54382,25.016679999999997,vd,142,"25.016679999999997,121.54382"
V2120C0,121.54746000000002,25.01974,vd,143,"25.01974,121.54746000000002"
V2130C0,121.54777,25.02027,vd,144,"25.02027,121.54777"
V2310G0,121.54123999999999,25.01491,vd,145,"25.01491,121.54123999999999"
V2311G0,121.53894,25.01247,vd,146,"25.01247,121.53894"
V2320G0,121.51194,25.02402,vd,147,"25.02402,121.51194"
V2321G0,121.54382,25.016679999999997,vd,148,"25.016679999999997,121.54382"
V2330G0,121.53544,24.99933,vd,149,"24.99933,121.53544"
V2KLN40,121.5403,24.998520000000003,vd,150,"24.998520000000003,121.5403"
V2LSS20,121.57161,24.99371,vd,151,"24.99371,121.57161"
V2PK0E0,121.53703,24.9981,vd,152,"24.9981,121.53703"
V2RTQ20,121.57446999999999,24.99505,vd,153,"24.99505,121.57446999999999"
V2WUA20,121.57683,24.99652,vd,154,"24.99652,121.57683"
V2ZUI60,121.58066000000001,24.99918,vd,155,"24.99918,121.58066000000001"
V3110C0,121.53469,25.01061,vd,156,"25.01061,121.53469"
V3120C0,121.53797,25.0236,vd,157,"25.0236,121.53797"
V3132C0,121.53374,25.02222,vd,158,"25.02222,121.53374"
V3310G0,121.53251999999999,25.022,vd,159,"25.022,121.53251999999999"
V3311G0,121.53374,25.02222,vd,160,"25.02222,121.53374"
V3320G0,121.53048999999999,25.02038,vd,161,"25.02038,121.53048999999999"
V3330G0,121.5435,25.02135,vd,162,"25.02135,121.5435"
V36F660,121.50768000000001,25.11348,vd,163,"25.11348,121.50768000000001"
V37JI40,121.53188999999999,25.11382,vd,164,"25.11382,121.53188999999999"
V3AIL00,121.52571999999999,25.11153,vd,165,"25.11153,121.52571999999999"
V3MER00,121.50838999999999,25.11345,vd,166,"25.11345,121.50838999999999"
V3UNW00,121.5511,25.11591,vd,167,"25.11591,121.5511"
V3ZT820,121.57036000000001,25.114720000000002,vd,168,"25.114720000000002,121.57036000000001"
V4010A0,121.53538,25.00358,vd,169,"25.00358,121.53538"
V4011A0,121.53411000000001,25.00618,vd,170,"25.00618,121.53411000000001"
V4020A0,121.52811000000001,25.01138,vd,171,"25.01138,121.52811000000001"
V4031A0,121.52666,25.014020000000002,vd,172,"25.014020000000002,121.52666"
V4040H1,121.52566000000002,25.015829999999998,vd,173,"25.015829999999998,121.52566000000002"
V4050G0,121.50791000000001,25.022489999999998,vd,174,"25.022489999999998,121.50791000000001"
V4060G0,121.50405,25.01991,vd,175,"25.01991,121.50405"
V4070G0,121.5233,25.01905,vd,176,"25.01905,121.5233"
V4080G0,121.4916,25.022879999999997,vd,177,"25.022879999999997,121.4916"
V4081G0,121.49293999999999,25.019070000000003,vd,178,"25.019070000000003,121.49293999999999"
V4090H0,121.48868999999999,25.02927,vd,179,"25.02927,121.48868999999999"
V40A2G0,121.49603,25.01625,vd,180,"25.01625,121.49603"
V4210D0,121.49569,25.016379999999998,vd,181,"25.016379999999998,121.49569"
V4220D0,121.50647,25.02105,vd,182,"25.02105,121.50647"
V4221E0,121.49411,25.017129999999998,vd,183,"25.017129999999998,121.49411"
V4230B0,121.50078,25.018,vd,184,"25.018,121.50078"
V4231C0,121.49608,25.01652,vd,185,"25.01652,121.49608"
V4250B0,121.51473999999999,25.02378,vd,186,"25.02378,121.51473999999999"
V4261E0,121.51125,25.02366,vd,187,"25.02366,121.51125"
V4270C0,121.51997,25.02064,vd,188,"25.02064,121.51997"
